Part Number,Density,Part Status,Depth,Width,Op. Temp.,Industry Speed
MT40A2G4SA-075,8Gb,Production,2Gb,x4,0C to +95C,DDR4-2666
MT40A2G4WE-083E,8Gb,Production,2Gb,x4,0C to +95C,DDR4-2400
MT40A2G8JC-062E,16Gb,Sampling,2Gb,x8,0C to +95C,DDR4-3200
MT40A2G8NRE-083E,16Gb,Production,2Gb,x8,0C to +95C,DDR4-2400
MT40A2G8VA-062E,16Gb,Production,2Gb,x8,0C to +95C,DDR4-3200
MT40A2G8VA-062E IT,16Gb,Production,2Gb,x8,-40C to +95C,DDR4-3200
MT40A4G4DVN-062H,16Gb,Production,4Gb,x4,0C to +95C,DDR4-3200
MT40A4G4DVN-068H,16Gb,Production,4Gb,x4,0C to +95C,DDR4-2933
MT40A4G4DVN-075H,16Gb,Production,4Gb,x4,0C to +95C,DDR4-2666
MT40A4G4JC-062E,16Gb,Sampling,4Gb,x4,0C to +95C,DDR4-3200
MT40A4G4NRE-068,16Gb,Production,4Gb,x4,0C to +95C,DDR4-2933
MT40A4G4VA-062E,16Gb,Production,4Gb,x4,0C to +95C,DDR4-3200
MT40A4G8BAF-062E,32Gb,Production,4Gb,x8,0C to +95C,DDR4-3200
MT40A512M16JY-062E,8Gb,Production,512Mb,x16,0C to +95C,DDR4-3200
MT40A512M16JY-062E IT,8Gb,Production,512Mb,x16,-40C to +95C,DDR4-3200
MT40A512M16JY-075E AIT,8Gb,Contact Factory,512Mb,x16,-40C to +95C,DDR4-2666
MT40A512M16JY-083E,8Gb,Production,512Mb,x16,0C to +95C,DDR4-2400
MT40A512M16JY-083E AAT,8Gb,Contact Factory,512Mb,x16,-40C to +105C,DDR4-2400
MT40A512M16JY-083E AIT,8Gb,Contact Factory,512Mb,x16,-40C to +95C,DDR4-2400
MT40A512M16JY-083E AUT,8Gb,Contact Factory,512Mb,x16,-40C to +125C,DDR4-2400
MT40A512M16JY-083E IT,8Gb,Production,512Mb,x16,-40C to +95C,DDR4-2400
MT40A512M16LY-062E,8Gb,Production,512Mb,x16,0C to +95C,DDR4-3200
MT40A512M16LY-062E AAT,8Gb,Production,512Mb,x16,-40C to +105C,DDR4-3200
MT40A512M16LY-062E AIT,8Gb,Production,512Mb,x16,-40C to +95C,DDR4-3200
MT40A512M16LY-062E AT,8Gb,Production,512Mb,x16,-40C to +105C,DDR4-3200
MT40A512M16LY-062E AUT,8Gb,Production,512Mb,x16,-40C to +125C,DDR4-3200
MT40A512M16LY-062E IT,8Gb,Production,512Mb,x16,-40C to +95C,DDR4-3200
MT40A512M16LY-075,8Gb,Production,512Mb,x16,0C to +95C,DDR4-2666
MT40A512M8RH-075E AAT,4Gb,Contact Factory,512Mb,x8,-40C to +105C,DDR4-2666
MT40A512M8RH-075E AIT,4Gb,Contact Factory,512Mb,x8,-40C to +95C,DDR4-2666
MT40A512M8RH-083E,4Gb,Production,512Mb,x8,0C to +95C,DDR4-2400
MT40A512M8RH-083E AAT,4Gb,Contact Factory,512Mb,x8,-40C to +105C,DDR4-2400
MT40A512M8RH-083E AIT,4Gb,Contact Factory,512Mb,x8,-40C to +95C,DDR4-2400
MT40A512M8RH-083E IT,4Gb,Production,512Mb,x8,-40C to +95C,DDR4-2400
MT40A512M8SA-062,4Gb,Production,512Mb,x8,0C to +95C,DDR4-3200
MT40A512M8SA-062 AAT,4Gb,Production,512Mb,x8,-40C to +105C,DDR4-3200
MT40A512M8SA-062 AIT,4Gb,Production,512Mb,x8,-40C to +95C,DDR4-3200
MT40A512M8SA-062 AUT,4Gb,Production,512Mb,x8,-40C to +125C,DDR4-3200
MT40A512M8SA-062 IT,4Gb,Production,512Mb,x8,-40C to +95C,DDR4-3200
MT40A512M8SA-075,4Gb,Production,512Mb,x8,0C to +95C,DDR4-1333
MT40A512M8WE-075E,4Gb,Contact Factory,512Mb,x8,0C to +95C,DDR4-2666
MT40A8G4BAF-062E,32Gb,Sampling,8Gb,x4,0C to +95C,DDR4-3200
MT40A8G4CLU-062H,32Gb,Production,8Gb,x4,0C to +95C,DDR4-3200
MT40A8G4CLU-068H,32Gb,Production,8Gb,x4,0C to +95C,DDR4-2933
MT40A8G4CLU-075H,32Gb,Production,8Gb,x4,0C to +95C,DDR4-2666
